,#run_name,hidden#2,hidden#4,cross,llp_id,SS
0,run_01,2.000000e+02,1.000000e-02,8.519309e-22,35,SS1_DS_ff_1
1,run_02,2.000000e+02,1.000000e-01,9.162732e-16,35,SS1_DS_ff_1
2,run_03,2.000000e+02,1.000000e+00,8.111447e-10,35,SS1_DS_ff_1
